Valence,Arousal,Control
5.239130435,2.217391304,7.956521739
4.913043478,2.065217391,8.065217391
4.695652174,2.108695652,8
5.543478261,2.565217391,7.956521739
3.934782609,3.804347826,6.913043478
4.847826087,1.934782609,8.282608696
5.217391304,2.347826087,8.217391304
5.065217391,2.195652174,8.195652174
5.152173913,2.108695652,8.326086957
5.086956522,2,8.239130435
4.652173913,4.152173913,6.652173913
4.086956522,4.043478261,6.608695652
4.934782609,2.586956522,8.130434783
5.065217391,2.52173913,8.02173913
4.782608696,3.326086957,7.543478261
4.5,3.630434783,6.869565217
4.52173913,3.673913043,6.891304348
5.217391304,2.869565217,7.826086957
5.760869565,3.826086957,7.282608696
5.608695652,3.5,7.5
5.304347826,2.326086957,8.195652174
5.369565217,3.282608696,7.652173913
4.152173913,5.02173913,6.086956522
5,2.130434783,8.108695652
6.695652174,4.434782609,6.586956522
6.543478261,4.217391304,7.260869565
6.782608696,4.130434783,6.97826087
7.673913043,5.5,5.934782609
6.739130435,3.97826087,7.282608696
6.891304348,4.304347826,7.239130435
6.565217391,4.02173913,7.326086957
6.826086957,4.195652174,7.326086957
6.217391304,3.956521739,7.195652174
6.065217391,4.043478261,7.217391304
6.782608696,4.043478261,7.369565217
6.152173913,4.02173913,7.195652174
6.717391304,4.413043478,7.043478261
6.739130435,3.97826087,7.347826087
6.608695652,4.108695652,7.347826087
7,4,7
6.847826087,3.934782609,7.434782609
6.782608696,4.543478261,6.695652174
7.239130435,4.652173913,6.891304348
6.739130435,4.065217391,7.413043478
6.652173913,3.739130435,7.434782609
7.217391304,4.239130435,7.239130435
6.456521739,3.913043478,7.282608696
7.173913043,4.434782609,6.847826087
6.260869565,3.52173913,7.347826087
6.630434783,4.369565217,6.913043478
7.065217391,4.195652174,7.086956522
7,4.347826087,7.130434783
6.5,3.956521739,7.47826087
6.695652174,3.760869565,7.52173913
5.934782609,3.413043478,7.434782609
6.217391304,3.97826087,7.369565217
6.695652174,4.97826087,6.586956522
6.369565217,4,7.195652174
6.173913043,3.695652174,7.239130435
6.173913043,3.434782609,7.434782609
6.891304348,3.760869565,7.195652174
7.065217391,4.434782609,7.260869565
6.913043478,3.97826087,7.217391304
7.282608696,4.652173913,6.608695652
7.065217391,4.347826087,7.108695652
6.086956522,3.586956522,7.5
6.782608696,4.47826087,7.130434783
6.260869565,3.456521739,7.586956522
7.152173913,4.195652174,6.869565217
6.913043478,4.869565217,6.217391304
6.391304348,4.195652174,6.913043478
6.934782609,4.326086957,7.217391304
6.152173913,3.673913043,7.565217391
6.02173913,3.543478261,7.391304348
6.130434783,4.760869565,6.369565217
5.826086957,4.086956522,7.02173913
6.934782609,3.913043478,7.456521739
6.847826087,4.565217391,7.065217391
6.5,4.565217391,6.804347826
7.152173913,4.391304348,7.043478261
6.217391304,4.652173913,6.652173913
7.130434783,4.717391304,7.065217391
6.847826087,4.934782609,6.5
7.304347826,4.630434783,7.413043478
3.5,4.739130435,6.304347826
4.065217391,3.847826087,7.326086957
3.630434783,4.173913043,6.739130435
2.565217391,5.586956522,5.869565217
2.413043478,6.086956522,5.217391304
3.065217391,4.956521739,6.260869565
2.826086957,4.956521739,6
2.326086957,6.065217391,4.760869565
3.369565217,4.760869565,6.304347826
3.065217391,4.913043478,6.108695652
3.434782609,4.239130435,6.543478261
2.304347826,5.804347826,5.760869565
2.326086957,5.804347826,5.152173913
2.782608696,5.152173913,5.934782609
2.086956522,6.02173913,5.260869565
2.934782609,5.173913043,5.717391304
2.347826087,5.673913043,5.47826087
3.108695652,5.173913043,6.130434783
2.913043478,5.043478261,6.065217391
2.630434783,5.782608696,5
2.130434783,6.391304348,4.456521739
2.326086957,6.391304348,4.739130435
2.608695652,5.47826087,5.760869565
2.043478261,6.434782609,4.869565217
2.543478261,5.782608696,5.565217391
2.630434783,5.47826087,5.5
3.391304348,4.565217391,6.543478261
2.586956522,5.695652174,5.47826087
2.260869565,6.130434783,5.130434783
3.195652174,4.347826087,6.739130435
2.934782609,4.52173913,6.47826087
1.956521739,6.717391304,4.369565217
2.304347826,6.043478261,4.608695652
2.108695652,6.760869565,4.195652174
2.608695652,5.847826087,5.086956522
3.086956522,4.695652174,6.565217391
4.608695652,3.152173913,7.673913043
2.934782609,5.239130435,5.97826087
3.02173913,5.065217391,6.282608696
2.565217391,5.695652174,5.369565217
3.347826087,4.652173913,6.608695652
2.913043478,5.130434783,6.326086957
2.608695652,5.565217391,5.695652174
2.869565217,5.043478261,6.413043478
3.695652174,4.260869565,6.543478261
2.413043478,6.043478261,5.369565217
2.108695652,6.391304348,4.826086957
2.673913043,5.52173913,5.608695652
2.97826087,4.673913043,6.717391304
2.108695652,6.652173913,4.47826087
3.086956522,4.673913043,6.47826087
3.239130435,4.47826087,7.152173913
3.260869565,4.347826087,6.891304348
3.065217391,4.717391304,6.782608696
2.891304348,4.782608696,6.282608696
3.152173913,4.434782609,6.434782609
2.47826087,5.891304348,5.47826087
3.413043478,4.413043478,6.782608696
3.043478261,4.630434783,6.434782609
4.304347826,3.5,7.152173913
5.326086957,3.326086957,7.5
4.695652174,2.804347826,7.630434783
5.239130435,2.565217391,7.97826087
5.673913043,2.760869565,7.826086957
5.586956522,2.804347826,7.891304348
4.956521739,3.130434783,7.413043478
5.760869565,2.673913043,7.956521739
4.739130435,2.956521739,7.565217391
4.869565217,2.891304348,7.782608696
5.086956522,2.608695652,8.108695652
5.282608696,2.652173913,7.782608696
5.673913043,2.739130435,8.043478261
4.782608696,3.630434783,7.130434783
5.47826087,3.826086957,6.913043478
5.347826087,2.5,7.804347826
5.195652174,2.239130435,7.804347826
4.413043478,3.456521739,7.391304348
4.97826087,2.065217391,8.260869565
5.260869565,2.130434783,8.326086957
4.97826087,1.652173913,8.391304348
4.565217391,2.586956522,7.847826087
5,2.608695652,7.847826087
4.804347826,2.195652174,8.108695652
4.97826087,1.847826087,8.065217391
4.782608696,1.760869565,8.434782609
5.02173913,2.413043478,8.282608696
5.108695652,2.630434783,7.956521739
4.456521739,2.760869565,7.869565217
5,1.913043478,8.326086957
4.326086957,3.043478261,7.630434783
4.869565217,2.108695652,8.130434783
4.630434783,3.130434783,7.673913043
4.869565217,1.760869565,8.456521739
4.434782609,2.282608696,7.760869565
5.717391304,2.695652174,7.739130435
4.934782609,2.760869565,7.673913043
4.869565217,2.5,7.891304348
5.02173913,2.108695652,8.217391304
5.195652174,2.02173913,8.391304348
4.804347826,2.260869565,8.065217391
4.543478261,3.543478261,7
4.826086957,2.260869565,7.869565217
5.043478261,2.847826087,7.739130435
4.826086957,2.652173913,7.695652174
5.130434783,2.434782609,7.913043478
4.934782609,2.304347826,8.304347826
5.434782609,2.47826087,8.195652174
5.02173913,1.782608696,8.5
5.326086957,2.782608696,7.717391304
7.260869565,4.847826087,6.173913043
6.347826087,4.347826087,6.739130435
5.586956522,3.934782609,7.239130435
4.804347826,2.217391304,7.97826087
5.152173913,3.913043478,6.695652174
5.108695652,2.434782609,7.913043478
5.043478261,1.913043478,8.347826087
4.652173913,4.804347826,6.173913043
4.326086957,3.608695652,7.369565217
5.130434783,3.260869565,7.413043478
4.913043478,2.913043478,7.630434783
